Harmonized Variable,Study Mapped,Variable Field Name,Variable Description,Missing Samples (%)
HXMI,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXMI,MESA,mesae3dres06222012.e13dyc,"Time between first and third visits, in days",12.72380393
HXMI,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
HXMI,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXMI,MESA,mesae4dres06222012.e14dyc,"Time between first and fourth visits, in days",14.61696507
HXMI,MESA,mesaevthr2015_drepos_20200330.mi,Myocardial Infarction (MI),0.440270032
HXMI,MESA,mesaevthr2015_drepos_20200330.mitt,Time to MI or End of Year 2015 (days),0.440270032
HXMI,MESA,mesae5_drepos_20220820.e15dyc,"TIME BETWEEN FIRST AND FIFTH VISITS, IN DAYS",-
HXMI,REGARDS,baseline_calculated_variables.MI_SR_ECG,-,-
HXMI_SR,REGARDS,baseline_calculated_variables.MI_SR,-,-
HXPAD,REGARDS,baseline_calculated_variables.PAD_AMPUTATION,-,-
HXPAD,REGARDS,baseline_calculated_variables.PAD_SURGERY,-,-
HXPAD,REGARDS,baseline_calculated_variables.DVT_SR,-,-
HXTIA,REGARDS,baseline_calculated_variables.TIA_SR,-,-
HYPT,MESA,mesae1dres20220813.htn1c,Hypertension by JNC VI (1997) criteria,-
HYPT,MESA,mesae2dres06222012.htn2c,"Hypertension by JNC VI (1997) criteria, Exam 2",9.451130026
HYPT,MESA,mesae3dres06222012.htn3c,"Hypertension by JNC VI (1997) criteria, Exam 3",13.42823598
HYPT,MESA,mesae4dres06222012.htn4c,"Hypertension by JNC VI (1997) criteria, Exam 4",16.40739654
HYPT,MESA,mesae5_drepos_20220820.htn5c,"HYPERTENSION BY JNC VI (1997) CRITERIA, EXAM 5",1.335877863
ID_C,ARIC,derive13.id_c,Scrambled Cohort Visit ID,-
ID_C,ARIC,derive2_10.id_c,Scrambled Cohort Visit ID,-
ID_C,ARIC,derive37.id_c,Scrambled Cohort Visit ID,-
ID_C,ARIC,derive47.id_c,Scrambled Cohort Visit ID,-
ID_C,ARIC,derive51.id_c,Scrambled Cohort Visit ID,-
INSULIN,ARIC,msrcod07.msra04aa,MEDICATION & CONCENTRATION Q4M01A,-
INSULIN,ARIC,msrcod07.msra04ba,MEDICATION & CONCENTRATION Q4M02A,-
INSULIN,ARIC,msrcod07.msra04ca,MEDICATION & CONCENTRATION Q4M03A,-
INSULIN,ARIC,msrcod07.msra04da,MEDICATION & CONCENTRATION Q4M04A,-
INSULIN,ARIC,msrcod07.msra04ea,MEDICATION & CONCENTRATION Q4M05A,-
INSULIN,ARIC,msrcod07.msra04fa,MEDICATION & CONCENTRATION Q4M06A,-
INSULIN,ARIC,msrcod07.msra04ga,MEDICATION & CONCENTRATION Q4M07A,-
INSULIN,ARIC,msrcod07.msra04ha,MEDICATION & CONCENTRATION Q4M08A,-
INSULIN,ARIC,msrcod07.msra04ia,MEDICATION & CONCENTRATION Q4M09A,-
INSULIN,ARIC,msrcod07.msra04ja,MEDICATION & CONCENTRATION Q4M10A,-
INSULIN,ARIC,msrcod07.msra04ka,MEDICATION & CONCENTRATION Q4M11A,-
INSULIN,ARIC,msrcod07.msra04la,MEDICATION & CONCENTRATION Q4M12A,-
INSULIN,ARIC,msrcod07.msra04ma,MEDICATION & CONCENTRATION Q4M13A,-
INSULIN,ARIC,msrcod07.msra04na,MEDICATION & CONCENTRATION Q4M14A,-
INSULIN,ARIC,msrcod07.msra04oa,MEDICATION & CONCENTRATION Q4M15A,-
INSULIN,ARIC,msrcod07.msra04pa,MEDICATION & CONCENTRATION Q4M16A,-
INSULIN,ARIC,msrcod07.msra04qa,MEDICATION & CONCENTRATION Q4M17A,-
INSULIN,ARIC,msrcod26.msrb04a,MEDICATION NAME & CONCENTRATION Q4A,-
INSULIN,ARIC,msrcod26.msrb05a,MEDICATION NAME & CONCENTRATION Q5A,-
INSULIN,ARIC,msrcod26.msrb06a,MEDICATION NAME & CONCENTRATION Q6A,-
INSULIN,ARIC,msrcod26.msrb07a,MEDICATION NAME & CONCENTRATION Q7A,-
INSULIN,ARIC,msrcod26.msrb08a,MEDICATION NAME & CONCENTRATION Q8A,-
INSULIN,ARIC,msrcod26.msrb09a,MEDICATION NAME & CONCENTRATION Q9A,-
INSULIN,ARIC,msrcod26.msrb10a,MEDICATION NAME & CONCENTRATION Q10A,-
INSULIN,ARIC,msrcod26.msrb11a,MEDICATION NAME & CONCENTRATION Q11A,-
INSULIN,ARIC,msrcod26.msrb12a,MEDICATION NAME & CONCENTRATION Q12A,-
INSULIN,ARIC,msrcod26.msrb13a,MEDICATION NAME & CONCENTRATION Q13A,-
INSULIN,ARIC,msrcod26.msrb14a,MEDICATION NAME & CONCENTRATION Q14A,-
INSULIN,ARIC,msrcod26.msrb15a,MEDICATION NAME & CONCENTRATION Q15A,-
INSULIN,ARIC,msrcod26.msrb16a,MEDICATION NAME & CONCENTRATION Q16A,-
INSULIN,ARIC,msrcod26.msrb17a,MEDICATION NAME & CONCENTRATION Q17A,-
INSULIN,ARIC,msrcod26.msrb18a,MEDICATION NAME & CONCENTRATION Q18A,-
INSULIN,ARIC,msrcod26.msrb19a,MEDICATION NAME & CONCENTRATION Q19A,-
INSULIN,ARIC,msrcod26.msrb20a,MEDICATION NAME & CONCENTRATION Q20A,-
INSULIN,ARIC,msrc04.msrc4a,MEDICATION A NAME & CONCENTATION Q4A,-
INSULIN,ARIC,msrc04.msrc5a,MEDICATION B NAME & CONCENTRATION Q5A,-
INSULIN,ARIC,msrc04.msrc6a,MEDICATION C NAME & CONCENTRATION Q6A,-
INSULIN,ARIC,msrc04.msrc7a,MEDICATION D NAME & CONCENTRATION Q7A,-
INSULIN,ARIC,msrc04.msrc8a,MEDICATION E NAME & CONCENTRATION Q8A,-
INSULIN,ARIC,msrc04.msrc9a,MEDICATION F NAME & CONCENTRATION Q9A,-
INSULIN,ARIC,msrc04.msrc10a,MEDICATION G NAME & CONCENTRATION Q10A,-
INSULIN,ARIC,msrc04.msrc11a,MEDICATION H NAME & CONCENTRATION Q11A,-
INSULIN,ARIC,msrc04.msrc12a,MEDICATION I NAME & CONCENTRATION Q12A,-
INSULIN,ARIC,msrc04.msrc13a,MEDICATION J NAME & CONCENTRATION Q13A,-
INSULIN,ARIC,msrc04.msrc14a,MEDICATION K NAME & CONCENTRATION Q14A,-
INSULIN,ARIC,msrc04.msrc15a,MEDICATION L NAME & CONCENTRATION Q15A,-
INSULIN,ARIC,msrc04.msrc16a,MEDICATION M NAME & CONCENTRATION Q16A,-
INSULIN,ARIC,msrc04.msrc17a,MEDICATION N NAME & CONCENTRATION Q17A,-
INSULIN,ARIC,msrc04.msrc80a,-,-
INSULIN,ARIC,msrc04.msrc19a,MEDICATION P NAME & CONCENTRATION Q19A,-
INSULIN,ARIC,msrc04.msrc20a,MEDICATION Q NAME & CONCENTRATION Q20A,-
INSULIN,ARIC,msrd04.msrd4a,MEDICATION A NAME Q4A,-
INSULIN,ARIC,msrd04.msrd5a,MEDICATION B NAME Q5A,-
INSULIN,ARIC,msrd04.msrd6a,MEDICATION C NAME Q6A,-
INSULIN,ARIC,msrd04.msrd7a,MEDICATION D NAME Q7A,-
INSULIN,ARIC,msrd04.msrd8a,MEDICATION E NAME Q8A,-
INSULIN,ARIC,msrd04.msrd9a,MEDICATION F NAME Q9A,-
INSULIN,ARIC,msrd04.msrd10a,MEDICATION G NAME Q10A,-
INSULIN,ARIC,msrd04.msrd11a,MEDICATION H NAME Q11A,-
INSULIN,ARIC,msrd04.msrd12a,MEDICATION I NAME Q12A,-
INSULIN,ARIC,msrd04.msrd13a,MEDICATION J NAME Q13A,-
INSULIN,ARIC,msrd04.msrd14a,MEDICATION K NAME Q14A,-
INSULIN,ARIC,msrd04.msrd15a,MEDICATION L NAME Q15A,-
INSULIN,ARIC,msrd04.msrd16a,MEDICATION M NAME Q16A,-
INSULIN,ARIC,msrd04.msrd17a,MEDICATION N NAME Q17A,-
INSULIN,ARIC,msrd04.msrd18a,MEDICATION O NAME Q18A,-
INSULIN,ARIC,msrd04.msrd19a,MEDICATION P NAME Q19A,-
INSULIN,ARIC,msrd04.msrd20a,MEDICATION Q NAME Q20A,-
INSULIN,ARIC,msrcod51.msrcod5a,Med 1: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod6a,Med 2: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod7a,Med 3: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod8a,Med 4: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod9a,Med 5: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod10a,Med 6: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod11a,Med 7: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod12a,Med 8: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod13a,Med 9: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod14a,Med 10: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod15a,Med 11: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod16a,Med 12: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod17a,Med 13: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod18a,Med 14: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod19a,Med 15: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod20a,Med 16: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod21a,Med 17: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod22a,Med 18: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod23a,Med 19: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod24a,Med 20: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod25a,Med 21: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod26a,Med 22: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod27a,Med 23: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod28a,Med 24: Scanned UPC med name,-
INSULIN,ARIC,msrcod51.msrcod29a,Med 25: Scanned UPC med name,-
INSULIN,Framingham,ex1_5d_v1.e254,INSULIN,0.027114968
INSULIN,Framingham,ex1_2d_v3.b68,D202-23-INSULIN,0.026652452
INSULIN,Framingham,ex1_3d_v1.c29,INSULIN,-
INSULIN,Framingham,ex1_4d_v1.d035,INSULIN,0.230650948
INSULIN,Framingham,ex1_6d_v1.f218,MEDS - INSULIN,0.205218411
INSULIN,Framingham,ex1_7d_v2.g050,MEDS - INSULIN,0.057537399
INSULIN,Framingham,vr_meds_ex08_1_0280d.atc_cod1,ATC CODE FOR MEDICATION OR FIRST DRUG IN COMPOUND,-
INSULIN,Framingham,vr_meds_ex08_1_0280d.atc_cod2,ATC CODE FOR SECOND DRUG IN COMPOUND,-
INSULIN,Framingham,vr_meds_ex08_1_0280d.atc_cod3,ATC CODE FOR THIRD DRUG IN COMPOUND,-
INSULIN,Framingham,vr_meds_ex08_1_0280d.atc_cod4,ATC CODE FOR FOURTH DRUG IN COMPOUND,-
INSULIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod1,ATC code for medication or first drug in compound,-
INSULIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod2,ATC code for medication or second drug in compound,-
INSULIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod3,ATC code for medication or third drug in compound,-
INSULIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod4,ATC code for medication or fourth drug in compound,-
INSULIN,MESA,mesae1dres20220813.insln1c,Insulins,0.044027003
INSULIN,MESA,mesae2dres06222012.insln2c,Insulins,12.35691224
INSULIN,MESA,mesae3dres06222012.insln3c,Insulins,14.22072204
INSULIN,MESA,mesae4dres06222012.insln4c,Insulins,17.36131494
INSULIN,MESA,mesae5_drepos_20220820.insln5c,INSULINS,0.169635284
INSULIN,REGARDS,baseline_calculated_variables.DIABETES_MEDS_SR_INSULIN,-,-
LDL,ARIC,derive13.ldl02,RE-CALIBRATED LDL CHOL. in mg/dl,3.005865103
LDL,ARIC,derive2_10.ldl22,V2 re-calculated LDL-C in mg/dL,2.396177876
LDL,ARIC,derive37.ldl32,Re-Calibrated LDL Cholesterol in mg/dL,2.04332841
LDL,ARIC,derive47.ldl41,V4 Recalculated LDL Cholesterol,2.403277196
LDL,ARIC,lip.lip18,LDLCC-Cholesterol calculated (mg/dL),1.557737894
LDL,MESA,mesae1dres20220813.ldl1,LDL CHOLESTEROL (mg/dl),1.658350455
LDL,MESA,mesae2dres06222012.ldl2,LDL CHOLESTEROL (mg/dl),10.27296742
LDL,MESA,mesae3dres06222012.ldl3,LDL CHOLESTEROL (mg/dl),14.73437041
LDL,MESA,mesae4dres06222012.ldl4,LDL Cholesterol (mg/dl),18.153801
LDL,MESA,mesae5_drepos_20220820.ldl5,LDL CHOLESTEROL (mg/dl),3.329092451
LDL,REGARDS,baseline_calculated_variables.LDL,-,6.145843687
LVH,ARIC,derive13.clvh01,LVH present by cornell definition,-
LVH,ARIC,derive2_10.clvh21,LVH present by cornell definition,-
LVH,ARIC,derive37.clvh31,LVH present by cornell definition,-
LVH,ARIC,derive47.clvh41,LVH present by cornell definition,-
LVH,Framingham,vr_wkthru_ex09_1_1001d.dlvh1,"Definite left ventricular hypertrophy, Exam 1",0.040096231
LVH,Framingham,vr_wkthru_ex09_1_1001d.dlvh2,"Definite left ventricular hypertrophy, Exam 2",25.02004812
LVH,Framingham,vr_wkthru_ex09_1_1001d.dlvh3,"Definite left ventricular hypertrophy, Exam 3",24.67923015
LVH,Framingham,vr_wkthru_ex09_1_1001d.dlvh4,"Definite left ventricular hypertrophy, Exam 4",22.45388933
LVH,Framingham,vr_wkthru_ex09_1_1001d.dlvh5,"Definite left ventricular hypertrophy, Exam 5",27.36567763
LVH,Framingham,vr_wkthru_ex09_1_1001d.dlvh6,"Definite left ventricular hypertrophy, Exam 6",32.59823577
LVH,Framingham,vr_wkthru_ex09_1_1001d.dlvh7,"Definite left ventricular hypertrophy, Exam 7",31.77626303
LVH,Framingham,vr_wkthru_ex09_1_1001d.dlvh8,"Definite left ventricular hypertrophy, Exam 8",42.16118685
LVH,Framingham,vr_wkthru_ex09_1_1001d.dlvh9,"Definite left ventricular hypertrophy, Exam 9",53.8893344
LVH,MESA,mesae1dres20220813.ecglvh1c,LEFT VENTRICULAR HYPERTROPHY BY NOVACODE,0.719107719
LVH,MESA,mesae5_drepos_20220820.ecglvh5c,ECG LEFT VENTRICULAR HYPERTROPHY BY NOVACODE,2.184054283
LVH,REGARDS,baseline_calculated_variables.LVH_12,-,-
MESAID,MESA,mesae1dres20220813.mesaid,MESA Participant Identification Number,-
MESAID,MESA,mesae2dres06222012.mesaid,MESA Participant Identification Number,-
MESAID,MESA,mesae3dres06222012.mesaid,MESA Participant Identification Number,-
MESAID,MESA,mesae4dres06222012.mesaid,MESA Participant Identification Number,-
MESAID,MESA,mesae5_drepos_20220820.mesaid,MESA PARTICIPANT IDENTIFICATION NUMBER,-
NONSTATIN,Framingham,ex1_1d_v3.a80,ANTI-CHOLESTEROL AGENTS,0.481154772
NONSTATIN,Framingham,ex1_2d_v3.b61,D202-016-ANTI-CHOLESTEROL,0.053304904
NONSTATIN,Framingham,ex1_3d_v1.c26,ANTI CHOLESTEROL DRUGS,0.026581606
NONSTATIN,Framingham,ex1_4d_v1.d030,ANTI CHOLESTEROL DRUGS,0.230650948
NONSTATIN,Framingham,ex1_5d_v1.e245,ANTI CHOLESTEROL DRUGS-RESINS,0.027114968
NONSTATIN,Framingham,ex1_5d_v1.e246,ANTI CHOLESTEROL DRUGS-NIACIN,0.027114968
NONSTATIN,Framingham,ex1_5d_v1.e247,ANTI CHOLESTEROL DRUGS-FIBRATES,0.027114968
NONSTATIN,Framingham,ex1_5d_v1.e249,ANTI CHOLESTEROL DRUGS-OTHER,0.054229935
NONSTATIN,Framingham,ex1_6d_v1.f209,MEDS - ANTI-CHOL -RESINS,0.029316916
NONSTATIN,Framingham,ex1_6d_v1.f210,MEDS - ANTI-CHOL -NIACIN/NICOTINIC ACID,0.029316916
NONSTATIN,Framingham,ex1_6d_v1.f211,MEDS - ANTI-CHOL -FIBRATES,0.029316916
NONSTATIN,Framingham,ex1_6d_v1.f213,MEDS - ANTI-CHOL -OTHER,0.029316916
NONSTATIN,Framingham,ex1_7d_v2.g041,MEDS - ANTI-CHOL - RESINS,0.115074799
NONSTATIN,Framingham,ex1_7d_v2.g042,MEDS - ANTI-CHOL - NIACIN/NICOTINIC ACID,0.115074799
NONSTATIN,Framingham,ex1_7d_v2.g043,MEDS - ANTI-CHOL - FIBRATES,0.115074799
NONSTATIN,Framingham,ex1_7d_v2.g045,MEDS - ANTI-CHOL - OTHER,0.115074799
NONSTATIN,Framingham,vr_meds_ex08_1_0280d.atc_cod1,ATC CODE FOR MEDICATION OR FIRST DRUG IN COMPOUND,-
NONSTATIN,Framingham,vr_meds_ex08_1_0280d.atc_cod2,ATC CODE FOR SECOND DRUG IN COMPOUND,-
NONSTATIN,Framingham,vr_meds_ex08_1_0280d.atc_cod3,ATC CODE FOR THIRD DRUG IN COMPOUND,-
NONSTATIN,Framingham,vr_meds_ex08_1_0280d.atc_cod4,ATC CODE FOR FOURTH DRUG IN COMPOUND,-
NONSTATIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod1,ATC code for medication or first drug in compound,-
NONSTATIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod2,ATC code for medication or second drug in compound,-
NONSTATIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod3,ATC code for medication or third drug in compound,-
NONSTATIN,Framingham,vr_meds_ex09_1b_0879d.atc_cod4,ATC code for medication or fourth drug in compound,-
NONSTATIN,MESA,mesae1dres20220813.basq1c,Bile-acid sequestrants,0.044027003
NONSTATIN,MESA,mesae1dres20220813.fibr1c,Fibrates,0.044027003
NONSTATIN,MESA,mesae1dres20220813.mlpd1c,Miscellaneous lipid-lowering drugs,0.044027003
NONSTATIN,MESA,mesae1dres20220813.niac1c,Niacin and nictotinic acid,0.044027003
NONSTATIN,MESA,mesae1dres20220813.prob1c,Probucol,0.044027003
NONSTATIN,MESA,mesae2dres06222012.basq2c,Bile-acid sequestrants,12.35691224
NONSTATIN,MESA,mesae2dres06222012.fibr2c,Fibrates,12.35691224
NONSTATIN,MESA,mesae2dres06222012.mlpd2c,Miscellaneous lipid-lowering drugs,12.35691224
NONSTATIN,MESA,mesae2dres06222012.niac2c,Niacin and nictotinic acid,12.35691224
NONSTATIN,MESA,mesae2dres06222012.prob2c,Probucol,12.35691224
NONSTATIN,MESA,mesae3dres06222012.basq3c,Bile-acid sequestrants,14.22072204
NONSTATIN,MESA,mesae3dres06222012.fibr3c,Fibrates,14.22072204
NONSTATIN,MESA,mesae3dres06222012.mlpd3c,Miscellaneous lipid-lowering drugs,14.22072204
NONSTATIN,MESA,mesae3dres06222012.niac3c,Niacin and nictotinic acid,14.22072204
NONSTATIN,MESA,mesae3dres06222012.prob3c,Probucol,14.22072204
NONSTATIN,MESA,mesae3dres06222012.basq4c,-,-
NONSTATIN,MESA,mesae4dres06222012.fibr4c,Fibrates,17.36131494
NONSTATIN,MESA,mesae4dres06222012.mlpd4c,Miscellaneous lipid-lowering drugs,17.36131494
NONSTATIN,MESA,mesae4dres06222012.niac4c,Niacin and nictotinic acid,17.36131494
NONSTATIN,MESA,mesae4dres06222012.prob4c,Probucol,17.36131494
NONSTATIN,MESA,mesae5_drepos_20220820.basq5c,BILE-ACID SEQUESTRANTS,0.169635284
NONSTATIN,MESA,mesae5_drepos_20220820.fibr5c,FIBRATES,0.169635284
NONSTATIN,MESA,mesae5_drepos_20220820.mlpd5c,MISCELLANEOUS LIPID-LOWERING DRUGS,0.169635284
NONSTATIN,MESA,mesae5_drepos_20220820.niac5c,NIACIN AND NICTOTINIC ACID,0.169635284
NONSTATIN,MESA,mesae5_drepos_20220820.prob5c,PROBUCOL,0.169635284
PID,Framingham,vr_wkthru_ex09_1_1001d.pid,COHORT GENERAL EXAM DATA RANDOM ID,-
PID,Framingham,vr_wkthru_ex09_1_1001d.pid,COHORT GENERAL EXAM DATA RANDOM ID,-
PID,Framingham,vr_wkthru_ex09_1_1001d.pid,COHORT GENERAL EXAM DATA RANDOM ID,-
PID,Framingham,vr_wkthru_ex09_1_1001d.pid,COHORT GENERAL EXAM DATA RANDOM ID,-
PID,Framingham,vr_wkthru_ex09_1_1001d.pid,COHORT GENERAL EXAM DATA RANDOM ID,-
PID,Framingham,vr_wkthru_ex09_1_1001d.pid,COHORT GENERAL EXAM DATA RANDOM ID,-
PID,Framingham,vr_wkthru_ex09_1_1001d.pid,COHORT GENERAL EXAM DATA RANDOM ID,-
PID,Framingham,vr_wkthru_ex09_1_1001d.pid,COHORT GENERAL EXAM DATA RANDOM ID,-
PID,Framingham,vr_wkthru_ex09_1_1001d.pid,COHORT GENERAL EXAM DATA RANDOM ID,-
RACE_C,ARIC,derive13.racegrp,RACE (from FTRA23),-
RACE_C,ARIC,derive13.racegrp,RACE (from FTRA23),-
RACE_C,ARIC,derive13.racegrp,RACE (from FTRA23),-
RACE_C,ARIC,derive13.racegrp,RACE (from FTRA23),-
RACE_C,ARIC,derive13.racegrp,RACE (from FTRA23),-
RACE_C,MESA,mesae1dres20220813.race1c,RACE,-
RACE_C,MESA,mesae1dres20220813.race1c,RACE,-
RACE_C,MESA,mesae1dres20220813.race1c,RACE,-
RACE_C,MESA,mesae1dres20220813.race1c,RACE,-
RACE_C,MESA,mesae1dres20220813.race1c,RACE,-
RACE_C,REGARDS,baseline_calculated_variables.RACE,-,-
REGARDS_SUBJ_ID,REGARDS,baseline_calculated_variables.ID,-,-
SEX_C,ARIC,derive13.gender,SEX (from FTRA22),-
SEX_C,ARIC,derive2_10.gender,SEX (from FTRA22),-
SEX_C,ARIC,derive47.gender,SEX (from FTRA22),-
SEX_C,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_C,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_C,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_C,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_C,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_C,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_C,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_C,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_C,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_C,MESA,mesae1dres20220813.gender1,gender,-
SEX_C,MESA,mesae2dres06222012.gender2,-,-
SEX_C,MESA,mesae3dres06222012.gender3,-,-
SEX_C,MESA,mesae4dres06222012.gender4,-,-
SEX_C,MESA,mesae5_drepos_20220820.gender5,-,-
SEX_C,REGARDS,baseline_calculated_variables.GENDER,-,-
SEX_N,ARIC,derive47.gender,SEX (from FTRA22),-
SEX_N,ARIC,derive13.gender,SEX (from FTRA22),-
SEX_N,ARIC,derive2_10.gender,SEX (from FTRA22),-
SEX_N,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_N,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_N,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_N,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_N,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_N,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_N,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_N,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_N,Framingham,vr_dates_2019_a_1175d.sex,\x91Participant gender\x92,-
SEX_N,MESA,mesae1dres20220813.gender1,gender,-
SEX_N,MESA,mesae2dres06222012.gender2,-,-
SEX_N,MESA,mesae3dres06222012.gender3,-,-
SEX_N,MESA,mesae4dres06222012.gender4,-,-
SEX_N,MESA,mesae5_drepos_20220820.gender5,-,-
SEX_N,REGARDS,baseline_calculated_variables.GENDER,-,-
SODIUM,ARIC,anut2.sodi,sodium (mg),-
SODIUM,ARIC,nutv3.sodi,sodium (mg),-
SODIUM,Framingham,vr_ffreq_ex06_1_0506d.nut_sodium,SODIUM (mg),-
SODIUM,Framingham,vr_ffreq_ex08_1_0615d_v1.nut_sodium,Sodium mg,-
SODIUM,REGARDS,ffq_analyzed.SODIUM,-,-
STATE,ARIC,derive13.centerid,Description not found,-
STATE,ARIC,derive13.centerid,Description not found,-
STATE,MESA,mesa_site_drepos_20181106.site1c,Exam 1: Site,-
STATE,REGARDS,baseline_calculated_variables.STATE,-,-
STATIN,ARIC,derive13.statincode01,"Used Statin (at Visit 1) last 2weeks (0=No, 1=Yes) based on 2004 Med Code",0.766462277
STATIN,ARIC,derive2_10.statincode21,"Used Statin (at Visit 2) last 2weeks (0=No, 1=Yes) based on 2004 Med Code",0.323410511
STATIN,ARIC,derive37.statincode31,"Used Statin (at Visit 3) last 2weeks (0=No, 1=Yes) based on 2004 Med Code",0.254390284
STATIN,ARIC,derive47.statincode41,"Used Statin (at Visit 4) last 2weeks (0=No, 1=Yes) based on 2004 Med Code",0.400546199
STATIN,ARIC,msrcod51.code5a2,Med 1: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code6a2,Med 2: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code7a2,Med 3: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code8a2,Med 4: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code9a2,Med 5: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code10a2,Med 6: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code11a2,Med 7: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code12a2,Med 8: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code13a2,Med 9: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code14a2,Med 10: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code15a2,Med 11: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code16a2,Med 12: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code17a2,Med 13: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code18a2,Med 14: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code19a2,Med 15: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code20a2,Med 16: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code21a2,Med 17: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code22a2,Med 18: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code23a2,Med 19: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code24a2,Med 20: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code25a2,Med 21: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code26a2,Med 22: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code27a2,Med 23: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code28a2,Med 24: Therapeutic Class Code,-
STATIN,ARIC,msrcod51.code29a2,Med 25: Therapeutic Class Code,-
STATIN,Framingham,ex1_5d_v1.e248,ANTI CHOLESTEROL DRUGS-STATINS,0.027114968
